preZGA_RNA,eight_cell_RNA,ICM_RNA,hESC_RNA,preZGA_Ribo,eight_cell_Ribo,ICM_Ribo,hESC_Ribo
BCLAF3,CA1,ATP5F1D,ARHGAP1,ARHGAP36,C11orf91,ATN1,ARHGAP9
BCORL1,CA5B,ATP5MC3,ARHGAP11A-SCG5,ARHGAP39,C11orf98,ATP11A,ARHGEF1
BEAN1,CA6,ATP5MGL,ARHGAP23,ARHGAP44,C12orf42,ATP11C,ARHGEF10
BECN1,CAB39,ATP5PB,ARHGAP27,ARHGAP45,C12orf43,ATP12A,ARHGEF10L
BFAR,CAB39L,ATP5PO,ARHGAP28,ARHGAP6,C12orf49,ATP1A1-AS1,ARHGEF19
BHLHB9,CABP1,ATP6AP1,ARHGAP31,ARHGEF12,C12orf50,ATP1A4,ARHGEF2
BHLHE40,CABP5,ATP6V0A4,ARHGAP4,ARHGEF16,C12orf54,ATP1B1,ARHGEF34P
BHLHE40-AS1,CABP7,ATP6V0B,ARHGAP5-AS1,ARHGEF17,C12orf56,ATP2B2,ARHGEF35
BHMT2,CACNA1G,ATP6V0C,ARHGDIB,ARHGEF26,C12orf60,ATP2B3,ARHGEF37
BICC1,CACNA1H,ATP6V0D2,ARHGEF1,ARHGEF26-AS1,C14orf119,ATP2C2-AS1,ARHGEF4
BICRA,CACNG3,ATP6V0E1,ARHGEF10,ARHGEF28,C14orf177,ATP5F1C,ARHGEF40
BIRC2,CACNG7,ATP6V0E2-AS1,ARHGEF10L,ARID2,C15orf32,ATP5F1E,ARHGEF9
BLCAP,CACTIN,ATP6V1A,ARHGEF17,ARID4A,C15orf39,ATP5MD,ARID1A
BLK,CADM2-AS2,ATP6V1B1,ARHGEF19,ARID5A,C15orf41,ATP5MF-PTCD1,ARID1B
BLOC1S5-TXNDC5,CAGE1,ATP6V1B1-AS1,ARHGEF2,ARIH1,C16orf47,ATP5MG,ARID3B
BMP15,CAMK2N1,ATP6V1F,ARHGEF34P,ARL13B,C16orf72,ATP5PF,ARL10
BMP2K,CARF,ATP6V1FNB,ARHGEF35,ARL14EP,C16orf90,ATP6AP1,ARL16
BMP6,CASC11,ATP6V1H,ARHGEF39,ARL4C,C16orf91,ATP6AP2,ARL2
BMPER,CASQ2,ATP7B,ARHGEF4,ARL5B,C17orf112,ATP6V0A2,ARL4A
BMPR1A,CASTOR2,ATP8B2,ARHGEF40,ARL6,C17orf51,ATP6V0A4,ARL6IP4
BMPR1B,CBLN1,ATXN7L3,ARHGEF5,ARLNC1,C17orf67,ATP6V0C,ARL6IP5
BMPR1B-DT,CBWD3,AURKAIP1,ARHGEF9,ARMC1,C17orf80,ATP6V0D2,ARL6IP6
BMPR2,CBWD5,AVPR2,ARIH2OS,ARMC10,C17orf82,ATP6V0E2-AS1,ARL8A
BMS1P14,CBWD5.1,AXIN1,ARL11,ARMC12,C17orf98,ATP6V1B1,ARL9
BMT2,CBWD5.2,AXIN2,ARL16,ARMC2,C18orf21,ATP6V1G3,ARMC4
BNC1,CBX3,B3GALT2,ARL17B,ARMC8,C18orf25,ATP6V1H,ARMC6
BNIP1,CBX4,B3GALT6,ARL17B.1,ARMS2,C18orf61,ATP8A2,ARMCX1
BNIP3L,CBX5,B3GLCT,ARL17B.2,ARNTL,C18orf65,ATP8B2,ARMCX2
BOD1,CCAR2,B3GNT5,ARL17B.3,ARPP21,C19orf12,ATP9B,ARMCX3
BPGM,CCDC110,B3GNT7,ARL2,ARSG,C19orf18,ATRIP-TREX1,ARMCX4
BPNT1,CCDC113,B4GALT4,ARL3,ARSH,C19orf25,ATXN7L3,ARMCX5
BRCA1,CCDC12,B4GALT5,ARL5A,ARV1,C19orf48,ATXN8OS,ARMCX6
BRCA2,CCDC122,BACE1,ARL6IP4,ARX,C19orf53,AUH,ARMH1
BRD1,CCDC126,BACE1-AS,ARL6IP5,ASAH1,C19orf73,AUP1,ARNTL2
BRI3,CCDC136,BAG3,ARL6IP6,ASAH2B,C1D,AVIL,ARPC1A
BRI3BP,CCDC142,BAG6,ARMC10,ASAP1,C1GALT1C1L,AWAT1,ARPC3
BRINP1,CCDC144A,BAGE2,ARMC4,ASAP1-IT2,C1orf141,AWAT2,ARPC4
BRPF1,CCDC168,BAHD1,ARMC6,ASAP2,C1orf162,AXIN2,ARPC5
BTBD10,CCDC17,BAK1,ARMCX1,ASB10,C1orf194,B3GALT6,ARRB1
BTBD2,CCDC174,BAMBI,ARMCX2,ASB11,C1orf216,B3GAT3,ARRDC1
BTBD9,CCDC190,BAP1,ARMCX3,ASB15,C1orf52,B3GNT5,ARRDC1-AS1
BTG4,CCDC30,BASP1,ARMCX4,ASB16,C1orf61,B3GNT7,ARRDC3-AS1
BUB1B,CCDC34,BASP1-AS1,ARMCX5,ASB18,C1orf87,B4GALNT3,ARSB
BUD13,CCDC36,BBC3,ARMCX6,ASB2,C1QA,B4GALT1,ARSJ
BVES,CCDC38,BCAM,ARNTL2,ASB5,C1QBP,B4GALT1-AS1,ARVCF
C10orf120,CCDC40,BCAT1,ARPC1A,ASB6,C1QL2,B4GALT5,AS3MT
C10orf126,CCDC62,BCL2A1,ARPC2,ASF1B,C1QL4,B9D2,ASAP3
C10orf143,CCDC80,BCL2L2,ARPC3,ASIC1,C1QTNF3,BABAM2-AS1,ASB1
C10orf71,CCDC82,BCL2L2-PABPN1,ARPC4,ASIC2,C1QTNF8,BACE1,ASB13
C10orf90,CCDC85A,BCL3,ARPC5,ASPG,C20orf173,BAG3,ASB9
C10orf95,CCDC9,BCL9L,ARPC5L,ASPHD2,C20orf204,BAGE,ASCC1
C11orf53,CCER1,BCRP3,ARRB2,ASPM,C21orf58,BAMBI,ASCC3
C12orf4,CCER2,BCS1L,ARSB,ATAD1,C21orf62-AS1,BARHL1,ASGR1
C12orf40,CCK,BCYRN1,ARSI,ATAD2,C21orf91,BASP1,ASL
C12orf65,CCL15,BDKRB2,ARTN,ATAD2B,C22orf23,BATF3,ASNS
C12orf66,CCL15-CCL14,BDP1,AS3MT,ATAD5,C2orf48,BCAN,ASPH
C12orf77,CCL16,BEAN1-AS1,ASAP3,ATF2,C2orf49,BCAP29,ASPHD1
C14orf178,CCL27,BEGAIN,ASB1,ATF6,C2orf69,BCAR3,ASS1
C14orf28,CCL4,BEND3,ASB10,ATF6B,C2orf92,BCAT1,ASTN1
C15orf32,CCNA1,BEST3,ASB13,ATF7,C3,BCL2L15,ATAT1
C15orf48,CCNE1,BEST4,ASB16-AS1,ATF7IP,C3orf62,BCL2L2-PABPN1,ATCAY
C15orf61,CCNE2,BET1L,ASB9,ATG2B,C4orf46,BCL3,ATG16L2
C16orf46,CCNQ,BGLAP,ASCC1,ATL2,C5orf24,BCL6,ATG4B
C16orf74,CCNT1,BHLHE23,ASL,ATL3,C5orf63,BCL7B,ATIC
C16orf86,CCR10,BHLHE41,ASNA1,ATM,C5orf66-AS1,BCRP3,ATL1
C17orf107,CCSAP,BHMG1,ASNS,ATOH8,C6orf163,BDKRB1,ATP11AUN
C17orf99,CCT6P3,BHMT,ASPHD1,ATP10D,C6orf226,BDKRB2,ATP13A1
C18orf63,CD164L2,BICD1,ASPSCR1,ATP11A-AS1,C6orf48,BEND2,ATP1A2
C18orf65,CD200R1,BICD2,ASS1,ATP11B,C6orf62,BEND7,ATP1A3
C19orf44,CD200R1L,BIN1,ASTN1,ATP13A3,C7orf31,BEST3,ATP1B3
C19orf67,CD3D,BIN2,ATAT1,ATP13A4-AS1,C7orf69,BET1L,ATP23
C1orf127,CD3G,BLACE,ATCAY,ATP13A5,C8B,BHMT,ATP2A1-AS1
C1orf131,CD86,BMI1,ATF4,ATP1A1,C8orf33,BICD1,ATP5F1B
C1orf174,CD96,BMP1,ATG13,ATP2A1,C9orf131,BICD2,ATP5F1D
C1orf210,CDAN1,BMP2,ATG16L2,ATP2A2,C9orf47,BIN1,ATP5IF1
C1orf226,CDC14B,BMP8A,ATG4B,ATP2B1,C9orf66,BIN2,ATP5MC1
C1QL1,CDC23,BNIP3,ATG4D,ATP2B4,C9orf85,BLACAT1,ATP5MC2
C20orf194,CDC25A,BOD1L2,ATIC,ATP2C2,CA1,BLACE,ATP5MC3
C20orf96,CDC26,BOLA2,ATL1,ATP4A,CA6,BLOC1S5,ATP5ME
C2CD3,CDC42,BOLA2.1,ATN1,ATP5MGL,CAB39L,BMI1,ATP5MF
C2CD5,CDC6,BOP1,ATOH7,ATP6V0D1,CABP7,BMP1,ATP5PB
C2orf15,CDC73,BORCS8-MEF2B,ATOH8,ATP6V1C2,CACFD1,BMP10,ATP5PD
C2orf40,CDH10,BPI,ATOX1,ATP6V1FNB,CACNA1I,BMP2,ATP5PO
C2orf73,CDH24,BPIFA2,ATP13A1,ATP7A,CACNA2D4,BMP5,ATP6V1A
C3orf33,CDH9,BPIFA3,ATP13A2,ATP7B,CACNB1,BNIP3,ATP6V1E2
C3orf38,CDHR3,BRAF,ATP13A4-AS1,ATP8A1,CACNB3,BPI,ATP6V1G2-DDX39B
C3orf49,CDIPTOSP,BRAT1,ATP1A2,ATP9A,CACTIN,BPIFB3,ATPAF1
C3orf56,CDK1,BRCC3,ATP1A3,ATPAF2,CAHM,BPIFB4,ATPSCKMT
C3orf86,CDK11A,BRD3,ATP1B3,ATRNL1,CALCB,BRAF,ATRAID
C4orf19,CDK11B,BRMS1L,ATP23,ATRX,CALCOCO2,BRCC3,ATRIP
C4orf33,CDK5R1,BROX,ATP2A1-AS1,ATXN1,CAMK2N1,BRMS1,ATXN10
C4orf47,CDK5RAP2,BRPF3,ATP5F1A,ATXN1L,CAPN10-DT,BRMS1L,ATXN2-AS
C4orf50,CDKN2AIP,BSN,ATP5F1B,ATXN2,CAPNS2,BTBD16,ATXN3
C4orf51,CDKN2B-AS1,BSND,ATP5F1E,ATXN2L,CAPS,BTBD19,ATXN7L2
C5-OT1,CDKN2C,BSPRY,ATP5MC1,ATXN7,CARF,BTF3L4,ATXN7L3B
C5orf22,CDNF,BTBD3,ATP5MC2,ATXN7L1,CASC11,BTG2,AURKAIP1
C5orf34,CDR2,BTG2,ATP5MD,AUNIP,CASC20,BTLA,AURKB
C5orf47,CDV3,BTG3-AS1,ATP5ME,AURKC,CASTOR2,BTN3A3,AVPR2
C5orf56,CEACAM22P,BUB1B-PAK6,ATP5MF,AUTS2,CASZ1,BTNL9,AXL
C5orf66,CEBPZ,BZW2,ATP5MG,AVL9,CATIP,C10orf120,AZGP1P1
C6orf136,CECR7,C10orf53,ATP5PD,AVPR1A,CATSPER2,C11orf52,AZU1
C6orf52,CELA2B,C10orf67,ATP5PF,AVPR1B,CATSPERB,C11orf95,B2M
C7orf26,CELA3B,C11orf42,ATP6AP2,AXDND1,CBLL1,C11orf96,B3GALT1
C8orf34-AS1,CELF2-AS2,C11orf52,ATP6V0A2,AZGP1,CBLN1,C12orf71,B3GALT5
C8orf49,CENPF,C11orf54,ATP6V0E2,AZIN2,CBWD2,C16orf82,B3GALT5-AS1
C9orf147,CENPN,C11orf68,ATP6V1C2,B3GALNT1,CBWD5,C16orf92,B3GAT1
C9orf40,CENPQ,C11orf95,ATP6V1E2,B3GALNT2,CBWD5.1,C17orf102,B3GLCT
C9orf78,CENPW,C14orf93,ATP6V1G1,B3GALT2,CBWD5.2,C17orf64,B3GNT10
CA13,CEP72,C15orf56,ATP6V1G2,B3GNT2,CBWD6,C17orf77,B3GNT8
CAAP1,CEP85L,C16orf47,ATPAF1,B3GNT3,CBX4,C19orf33,B3GNTL1
CABYR,CEP95,C16orf54,ATPSCKMT,B3GNT9,CBX8,C1orf109,B4GALNT4
CACNA1A,CERNA1,C17orf82,ATRAID,B4GALT3,CCAR2,C1orf122,B4GALT2
CACNA1D,CERS5,C17orf97,ATRIP-TREX1,B4GALT6,CCDC105,C1orf131,B4GALT7
CACNA2D2,CETN1,C18orf15,ATXN10,BACH1,CCDC110,C1orf159,B4GAT1
CACNA2D3,CETN4P,C18orf54,ATXN8OS,BACH2,CCDC115,C1orf185,BABAM1
CACNG6,CFAP157,C19orf12,AUH,BAHCC1,CCDC12,C1QC,BABAM2
CACTIN-AS1,CFAP20,C19orf24,AUP1,BAIAP2,CCDC122,C1QTNF12,BACH1-IT2
CADPS,CFAP70,C19orf33,AURKAP1,BAIAP2L1,CCDC136,C1QTNF4,BAD
CAHM,CFAP97,C1orf105,AURKB,BAIAP3,CCDC137,C1QTNF7,BAG1
CALCR,CFDP1,C1orf115,AVL9,BANK1,CCDC142,C1QTNF9B,BAG2
CALM1,CFHR3,C1orf122,AVPR1A,BANP,CCDC157,C1R,BAG6
CALM2,CFI,C1orf61,AXL,BARD1,CCDC158,C20orf141,BAHD1
CAMK1D,CFL2,C1orf68,AZGP1P1,BARX2,CCDC169-SOHLH2,C21orf59-TCP10L,BASP1-AS1
CAMK2A,CFTR,C1QTNF3-AMACR,AZIN1,BASP1P1,CCDC173,C21orf62,BAX
CAMK2G,CGAS,C1S,AZIN1-AS1,BAZ1A,CCDC174,C2CD2,BAZ2B
CAMK4,CHD1,C20orf173,B2M,BAZ1B,CCDC183,C2CD4A,BAZ2B.1
CAMLG,CHL1,C20orf202,B3GALT5,BAZ2A,CCDC186,C2orf16,BBC3
CAMSAP1,CHM,C20orf204,B3GALT5-AS1,BBS10,CCDC24,C2orf74,BBS1
CAMTA2,CHML,C20orf78,B3GAT1,BBS5,CCDC30,C2orf78,BBS2
CAND2,CHMP1B2P,C22orf46,B3GAT3,BBS7,CCDC36,C2orf91,BBX
CAPN10,CHMP5,C2CD2,B3GNT10,BBS9,CCDC37-DT,C3orf20,BCAM
CAPN11,CHP2,C2CD4C,B3GNT4,BCAR4,CCDC59,C3orf22,BCAR1
CAPN7,CHRM4,C2orf66,B3GNT8,BCKDHB,CCDC62,C3orf35,BCAS2
CAPRIN2,CHRNA10,C2orf72,B4GALNT4,BCL10,CCDC70,C3orf36,BCAS4
CAPS2,CHRNA6,C3orf18,B4GALT2,BCL11B,CCDC85B,C3orf52,BCCIP
CAPZA1,CHRNB1,C3orf35,B4GALT3,BCL2A1,CCDC88B,C3orf80,BCHE
CARMIL1,CHST5,C3orf85,B4GALT4-AS1,BCL2L10,CCDC89,C4BPB,BCKDHA
CARNMT1,CHTOP,C4BPB,B4GALT7,BCL2L13,CCER1,C4orf19,BCKDK
CASC1,CIB3,C4orf48,B4GAT1,BCLAF3,CCER2,C4orf3,BCL11A
CASC17,CILP,C4orf54,BABAM1,BCO1,CCIN,C4orf33,BCL2
CASC21,CITED1,C5orf17,BABAM2,BCORL1,CCK,C5orf15,BCL2L1
CASC3,CKAP2L,C5orf24,BABAM2-AS1,BCR,CCL15,C5orf64,BCL2L12
CASC8,CKM,C6,BACE2,BDH1,CCL15-CCL14,C5orf66-AS2,BCL2L14
CASD1,CKMT2-AS1,C6orf132,BAD,BEAN1-AS1,CCL26,C5orf67,BCL7C
CASP12,CKS2,C6orf222,BAG1,BECN1,CCL28,C6orf120,BCL9L
CASP6,CLC,C6orf223,BAG2,BEND6,CCL4,C6orf58,BCLAF1
CASP8AP2,CLCA1,C6orf99,BANCR,BFSP2,CCNA1,C6orf99,BEGAIN
CASS4,CLCF1,C7orf31,BANF1,BHLHB9,CCNE1,C7orf33,BEND3
CAST,CLDN20,C8G,BAX,BHLHE23,CCNE2,C7orf57,BEND4
CASTOR1,CLEC12B,C8orf31,BAZ2B,BHLHE40,CCNF,C8orf76,BEND5
CATSPER2,CLEC1B,C9orf106,BAZ2B.1,BHLHE40-AS1,CCNL1,C8orf87,BEST2
CATSPERD,CLEC2A,C9orf131,BBS1,BHLHE41,CCNL2,C9orf106,BEST4
CAVIN2,CLEC2B,C9orf153,BBS2,BHMT2,CCNQ,C9orf147,BET1
CBFA2T3,CLEC4M,C9orf47,BBS7,BICC1,CCNT1,C9orf152,BEX1
CBFB,CLECL1,C9orf62,BBX,BICRA,CCSAP,C9orf153,BEX2
CBLL1,CLHC1,CA12,BCAN,BICRAL,CCT6P1,C9orf50,BEX3
CBR4,CLIC2,CA2,BCAP31,BIN3,CD14,C9orf64,BEX4
CBX1,CLK4,CA3-AS1,BCAR1,BIRC2,CD163,C9orf78,BEX5
CBY1,CLP1,CA4,BCAS2,BIRC6,CD164L2,CA12,BFAR
CCAT2,CLRN1-AS1,CA8,BCAS4,BIRC8,CD180,CA2,BFSP1
CCBE1,CMPK1,CABIN1,BCHE,BISPR,CD200R1,CA3-AS1,BGN
CCDC102B,CMYA5,CABP4,BCKDHA,BIVM-ERCC5,CD209,CA4,BHLHA15
CCDC114,CNEP1R1,CACHD1,BCKDHB,BLCAP,CD226,CAAP1,BICDL2
CCDC117,CNFN,CACNA1B,BCKDK,BLID,CD2BP2,CAB39,BID
CCDC121,CNGA3,CACNA1G-AS1,BCL11A,BLK,CD300A,CABLES2,BIRC5
CCDC13-AS1,CNIH1,CACNA2D3-AS1,BCL2,BLNK,CD300E,CABP2,BIVM
CCDC137,CNKSR3,CACNB1,BCL2L1,BLOC1S3,CD300H,CACHD1,BLM
CCDC138,CNPY4,CACNB3,BCL2L12,BMPR1A,CD302,CACNA1C-AS1,BLMH
CCDC140,CNST,CACNG2,BCL2L14,BMPR2,CD33,CACNA1S,BLOC1S1
CCDC146,CNTF,CACNG4,BCL7B,BMS1P14,CD40LG,CACNA2D2,BLOC1S1-RDH5
CCDC15,CNTN4-AS1,CAD,BCL7C,BMT2,CD52,CACNA2D3,BLOC1S2
CCDC160,COA6,CADM1,BCR,BNIP1,CD5L,CACNG1,BLOC1S4
CCDC163,COA6-AS1,CADM3-AS1,BEND3P3,BNIP3L,CD68,CACYBP,BLOC1S5-TXNDC5
CCDC171,COL24A1,CALHM1,BEND4,BNIPL,CD79A,CAGE1,BLVRA
CCDC173,COL25A1,CALM3,BEND5,BOD1,CD80,CALM3,BLVRB
CCDC175,COL6A2,CALML3-AS1,BEND6,BOD1L2,CD86,CALML3-AS1,BMERB1
CCDC177,COL6A4P1,CALML5,BEST1,BOLL,CD93,CALML5,BMF
CCDC181,COL6A5,CALY,BEST2,BORCS5,CDAN1,CAMK1G,BMP7
CCDC186,COQ10B,CAMK2D,BET1,BORCS8-MEF2B,CDC25A,CAMSAP2,BMS1
CCDC191,CORIN,CAMP,BEX1,BPGM,CDC26,CAPN9,BMS1P20
CCDC198,CORT,CAMSAP2,BEX2,BPIFA1,CDC34,CAPSL,BMS1P4
CCDC25,COX16,CAMSAP3,BEX3,BPIFC,CDC37,CAPZA3,BNC2
CCDC28A,COX19,CAND1,BEX4,BRCA2,CDC42P3,CARD14,BNC2-AS1
CCDC39,COX6B2,CANT1,BEX5,BRD1,CDC6,CARD16,BOC
CCDC59,COX6C,CANX,BFSP1,BRD2,CDCA2,CARD17,BOK
CCDC6,COX7A2L,CAPN15,BICDL2,BRD3OS,CDCA4,CARD9,BOLA2-SMG1P6
CCDC66,COX7B,CAPN2,BID,BRD7,CDH10,CARS-AS1,BOLA3
CCDC7,COX7B2,CARD14,BIRC5,BRI3,CDH22,CARTPT,BOLA3-AS1
CCDC71,CPB2,CARD16,BISPR,BRI3BP,CDH24,CASC21,BOP1
CCDC73,CPB2-AS1,CARD17,BIVM,BRINP2,CDIPT,CASD1,BORCS7-ASMT
CCDC77,CPHXL,CARD18,BIVM-ERCC5,BRINP3,CDIPTOSP,CASP10,BORCS8
CCDC87,CPM,CARD8-AS1,BLACAT1,BRIP1,CDK1,CASQ2,BPHL
CCDC88A,CPNE5,CARD9,BLMH,BRPF1,CDK11A,CASR,BPNT1
CCDC88C,CPT1C,CARMIL3,BLOC1S1,BRPF3,CDK11B,CASTOR3,BPTF
CCDC91,CPXCR1,CARMN,BLOC1S1-RDH5,BRWD1,CDK19,CATSPER3,BRAT1
CCDC93,CRCP,CARS-AS1,BLOC1S2,BRWD1-AS1,CDK9,CATSPERZ,BRD3
CCND2,CREBRF,CATSPER3,BLOC1S4,BRWD1-AS2,CDKL1,CAV3,BRD9
CCNG2,CREM,CATSPERE,BLOC1S5,BSDC1,CDKN2A,CBFA2T2,BRK1
CCNJ,CRIPT,CATSPERZ,BLVRA,BSN,CDKN2AIP,CBL,BRSK2
CCNT2,CRISP2,CBFA2T2,BLVRB,BSN-DT,CDKN2B,CBLB,BRWD3
CCNYL1,CRLF3,CBL,BMERB1,BSND,CDKN2D,CBLN3,BSPRY
CCPG1,CRNDE,CBLB,BMF,BSPH1,CDRT15L2,CBS,BST2
CCR3,CRP,CBLN3,BMP7,BTBD10,CDT1,CBX7,BTBD1
CCSER2,CRTAM,CC2D1A,BMS1,BTBD11,CDV3,CBY3,BTBD17
CCT6B,CRTC3-AS1,CC2D1B,BMS1P1,BTBD9,CEACAM19,CC2D1A,BTBD2
CCZ1,CRYAB,CCAR1,BMS1P1.1,BTG3-AS1,CEACAM21,CCAT1,BTBD3
CCZ1B,CRYBB2,CCAT1,BMS1P2-AGAP9,BTG4,CEACAM5,CCDC102A,BTD
CD109,CRYGC,CCDC102A,BMS1P2-AGAP9.1,BTRC,CEBPE,CCDC116,BTF3
CD163,CSAG1,CCDC116,BMS1P4,BUB1,CEBPG,CCDC124,BTN2A1
CD164,CSAG4,CCDC124,BMS1P4-AGAP5,BUD13,CECR7,CCDC125,BTN2A2
CD36,CSE1L-AS1,CCDC125,BNC2,BVES,CELA2B,CCDC13,BTN2A3P
CD82,CSH1,CCDC134,BNC2-AS1,C10orf105,CELA3B,CCDC144CP,BTN3A1
CD8B,CSNK2B,CCDC144B,BOC,C10orf126,CEMP1,CCDC168,BTN3A2
CD99,CSPG5,CCDC144CP,BOK,C10orf143,CENPC,CCDC180,BTNL8
CD99.1,CSRNP1,CCDC152,BOLA2-SMG1P6,C10orf62,CENPF,CCDC183-AS1,BUB1B-PAK6
CD99L2,CST11,CCDC32,BOLA3,C10orf71,CENPN,CCDC185,BUB3
CDC25B,CST8,CCDC47,BOLA3-AS1,C10orf90,CENPS-CORT,CCDC33,C10orf67
CDC37L1,CSTA,CCDC57,BORCS7,C10orf91,CEP170,CCDC43,C11orf1
CDC40,CSTF3,CCDC86,BORCS7-ASMT,C10orf95,CEP19,CCDC47,C11orf24
CDC42BPA,CSTF3-DT,CCDC9B,BORCS8,C11orf16,CEP350,CCDC51,C11orf49
CDC42BPB,CT45A10,CCEPR,BPHL,C11orf42,CEP63,CCDC57,C11orf54
CDC42P3,CT47B1,CCIN,BRD3OS,C11orf44,CEP83,CCDC74B,C11orf58
CDC45,CT55,CCKBR,BRD9,C11orf53,CEP85L,CCDC83,C11orf68
CDC5L,CT83,CCL14,BRF1,C11orf71,CEP95,CCDC85C,C12orf10
CDC7,CTAGE7P,CCL28,BRF2,C11orf74,CERNA3,CCDC92,C12orf45
CDCA2,CTC-338M12.4,CCL5,BRICD5,C11orf87,CERS5,CCEPR,C12orf57
CDCA8,CTCF,CCL8,BRK1,C11orf88,CES1,CCKBR,C12orf73
CDH17,CTDNEP1,CCND3,BRSK2,C11orf97,CETN1,CCL22,C12orf76
CDH18,CTDSP2,CCNDBP1,BSG,C12orf66,CFAP20,CCL4L2,C13orf42
CDH3,CTDSPL2,CCNF,BSN-DT,C12orf74,CFAP44,CCL4L2.1,C14orf132
CDH5,CTNNBL1,CCNL1,BST1,C14orf28,CFAP53,CCN5,C14orf178
CDIP1,CTRB1,CCNY,BST2,C15orf54,CFAP70,CCNC,C14orf93
CDK17,CTSL3P,CCR1,BTBD1,C15orf62,CFAP97,CCND3,C15orf40
CDK2AP2,CTSS,CCR2,BTBD17,C16orf54,CFB,CCNDBP1,C16orf87
CDK8,CTSV,CCR7,BTBD6,C16orf58,CFDP1,CCR1,C16orf89
CDON,CTSZ,CCR8,BTC,C16orf70,CFH,CCR5,C17orf107
CDS1,CTXND1,CCRL2,BTD,C16orf71,CGB1,CCR6,C17orf113
CDS2,CUL2,CCT6P1,BTF3,C16orf74,CGB7,CCR7,C17orf58
CDYL2,CUL3,CCT8L2,BTF3L4,C16orf78,CGB8,CCR8,C17orf97
CEBPG,CWC15,CD19,BTG3,C16orf96,CHCHD2,CCRL2,C19orf24
CELA3A,CXCL10,CD2,BTN2A1,C17orf49,CHD1,CCS,C19orf44
CELF1,CXCL11,CD207,BTN2A2,C17orf53,CHD5,CCT6B,C19orf66
CELF2,CXCL14,CD22,BTN2A3P,C17orf75,CHD6,CCT8L2,C19orf84
CELSR1,CXorf38,CD274,BTN3A1,C17orf78,CHD8,CD101,C1orf112
CEMIP2,CYB561D1,CD2AP,BTNL8,C17orf99,CHI3L1,CD19,C1orf115
CENPA,CYB5B,CD2BP2,BUD23,C18orf12,CHML,CD1B,C1orf116
CENPC,CYBB,CD300E,C10orf55,C18orf54,CHMP1A,CD1D,C1orf198
CENPE,CYCS,CD300LF,C10orf88,C19orf47,CHMP1B,CD1E,C1orf21
CENPJ,CYLC1,CD300LG,C11orf1,C19orf54,CHMP5,CD2,C1orf220
CENPK,CYMP,CD320,C11orf49,C19orf57,CHP2,CD200R1L,C1orf229
CENPL,CYP4F35P,CD3E,C11orf58,C1GALT1C1,CHPF2,CD22,C1orf232
CENPP,CYS1,CD46,C11orf86,C1orf100,CHRD,CD27,C1orf35
CENPU,D2HGDH,CD47,C11orf87,C1orf105,CHRFAM7A,CD27-AS1,C1orf54
CEP104,DAGLB,CD48,C12orf10,C1orf140,CHRM5,CD274,C1orf94
CEP120,DAOA-AS1,CD52,C12orf57,C1orf146,CHRNA10,CD28,C1QL3
CEP152,DBF4B,CD53,C12orf73,C1orf158,CHRNA6,CD2AP,C1QTNF2
CEP162,DBP,CD5L,C12orf75,C1orf174,CHRNB1,CD300LF,C1QTNF3-AMACR
CEP192,DBR1,CD69,C12orf76,C1orf195,CHST8,CD320,C1QTNF5
CEP295,DBT,CD70,C14orf132,C1orf210,CHSY3,CD47,C1RL
CEP350,DCAF10,CD81,C15orf40,C1orf226,CHTOP,CD48,C1RL-AS1
CEP44,DCAF12L1,CD84,C16orf89,C1orf43,CIB3,CD53,C1S
CEP57,DCAF13,CD93,C17orf49,C1orf50,CIDEB,CD6,C2
CEP57L1,DCAF13P3,CDC42BPG,C17orf58,C1orf53,CIITA,CD63,C20orf27
CEP70,DCAF16,CDC42EP1,C17orf64,C1orf56,CIR1,CD7,C22orf15
CEP76,DCAF4,CDC42EP4,C17orf75,C1orf68,CITED4,CD70,C22orf39
CEP78,DCAF8L1,CDCA3,C19orf25,C1orf74,CKAP2,CD81,C22orf42
CEP83,DCAF8L2,CDH1,C19orf48,C1QB,CKAP2L,CD8B2,C22orf46
CEP85,DCLRE1B,CDH11,C19orf81,C1QL1,CKMT2-AS1,CDC14C,C2CD4C
CEP89,DCST1,CDH19,C19orf84,C1QTNF6,CLBA1,CDC42BPG,C2CD4D
CERKL,DCTN3,CDH7,C1GALT1C1,C1QTNF9,CLC,CDC42EP1,C2CD4D-AS1
CERNA3,DCTN5,CDHR1,C1orf109,C20orf144,CLCA1,CDC42EP4,C2orf27A
CERS2,DDC,CDHR4,C1orf116,C20orf194,CLCA4-AS1,CDC73,C3orf18
CETN3,DDI2,CDK13,C1orf159,C20orf202,CLCN1,CDH1,C3orf85
CFAP206,DDIAS,CDK16,C1orf198,C20orf85,CLDN14,CDH11,C4orf36
CFAP221,DDIT3,CDK19,C1orf216,C20orf96,CLEC14A,CDH16,C5orf30
CFAP47,DDN-AS1,CDK6,C1orf35,C22orf24,CLEC17A,CDH23,C5orf38
CFAP52,DDX18,CDKN1B,C1orf43,C22orf34,CLEC18A,CDH7,C5orf51
CFAP54,DDX20,CDKN1C,C1orf54,C2CD2L,CLEC1B,CDH8,C6orf118
CFAP58,DDX21,CDKN2A-DT,C1orf87,C2CD3,CLEC2B,CDH9,C6orf132
CFAP61,DDX24,CDKN2D,C1orf94,C2CD4B,CLEC2D,CDHR1,C6orf141
